Groups,Guiyang,Paris,Chaohu,Luoping,Xingyi,Guanling
Reptilia,0,0,6,8,13,13
Osteichthyes,13,2,2,28,17,6
Chondrychtyes,1,2,0,2,0,0
Conodonta,3,1,7,3,0,4
Cephalopoda,3,4,2,2,3,10
Bivalvia,5,15,2,1,1,11
Gastropod,1,0,0,1,0,0
Ostracoda,1,0,0,0,0,0
Brachiopoda,0,3,0,1,0,2
Malacostraca,3,6,0,12,1,0
Xiphosura ,0,1,0,1,0,0
Thylacocephala,0,3,4,0,0,0
Cyclida,1,0,0,1,0,0
Echinoidea,0,0,0,1,0,0
Ophiuroidea,0,1,0,0,0,0
Crinoidea,0,1,0,1,1,3
Holothurians,0,0,0,0,0,1
Porifera,1,2,0,0,0,0
Radiolarian,1,0,0,0,0,0
Chlorophytae,0,4,0,0,0,0
Foraminifera,7,0,7,0,0,0
